原产地						修格里城						铁盟哨站						7号自由港						澄明数据中心						阿妮塔战备工厂(lv40)						阿妮塔能源研究所						荒原站						曼德矿场						淘金乐园					
城市	商品	价位	时间	趋势	时效	价位	时间	趋势	时效	单票利润	单位利润	价位	时间	趋势	时效	单票利润	单位利润	价位	时间	趋势	时效	单票利润	单位利润	价位	时间	趋势	时效	单票利润	单位利润	价位	时间	趋势	时效	单票利润	单位利润	价位	时间	趋势	时效	单票利润	单位利润	价位	时间	趋势	时效	单票利润	单位利润	价位	时间	趋势	时效	单票利润	单位利润	价位	时间	趋势	时效	单票利润	单位利润
铁盟哨站	防弹背心	97%	23:07	↓	有效	107%	19:28	↓	失效	10126 	921 							93%	23:12	↓	有效	9967 	906 	93%	22:02	↓	失效	7653 	696 	111%	23:31	↓	有效	-24272 	-2207 	85%	22:47	↑	有效	9137 	831 	116%	23:16	↓	有效	13006 	1182 	109%	23:17	↓	有效	10757 	978 	98%	21:26	↑	失效	10584 	962 
	弹丸加速装置-哨站	99%	23:07	↓	有效													84%	23:13	↑	有效	4314 	359 	103%	22:03	↑	失效	8669 	722 	119%	23:32	↑	有效	15211 	1268 	102%	21:42	↑	失效	11540 	962 	101%	23:15	↓	有效	8119 	677 	120%	20:55	↑	失效	13323 	1110 	107%	20:26	↓	失效	11699 	975 
	精钢	89%	23:07	↑	有效	120%	20:17	↑	失效	12119 	713 							101%	23:14	↓	有效	11787 	693 	86%	20:25	↓	失效	4998 	294 	103%	23:32	↑	有效	9261 	545 	102%	23:24	↑	有效	14451 	850 	113%	23:15	↓	有效	10446 	614 	101%	23:18	↑	有效	8279 	487 	97%	19:37	↑	失效	9547 	562 
	炮弹	107%	23:07	↓	有效	93%	21:39	↑	失效	4603 	159 							89%	23:14	↓	有效	5562 	192 	96%	20:25	↑	失效	6632 	229 	103%	13:16	↓	失效	-43660 	-1506 	102%	23:24	↓	有效	-43660 	-1506 	105%	23:16	↓	有效	-43660 	-1506 	115%	21:35	↑	失效	24228 	835 	106%	22:28	↓	失效	13433 	463 
	塑胶炸药	87%	23:07	↓	有效	100%	19:09	↓	失效	4983 	249 							117%	23:14	↑	有效	10676 	534 	95%	19:43	↓	失效	5257 	263 	107%	13:45	↑	失效	8610 	431 	97%	23:24	↓	有效	8142 	407 	98%	23:16	↑	有效	5142 	257 	96%	19:04	↓	失效	4802 	240 	99%	23:11	↓	有效	7107 	355 
	子弹				失效		0:46	↓	失效		0 								0:46	↓	失效		0 		21:48	↓	失效	0 	0 		0:46	↓	失效	0 	0 		0:46	↓	失效	0 	0 		18:25	↓	失效	0 	0 		9:21	↓	失效	0 	0 		0:46	↓	失效	0 	0 
	汽油				失效		0:46	↓	失效		0 								0:46	↓	失效		0 		22:48	↓	有效	0 	0 		0:46	↓	失效	0 	0 		0:46	↓	失效	0 	0 		18:25	↓	失效	0 	0 		10:21	↓	失效	0 	0 		0:46	↓	失效	0 	0 
	靛红五月军用食品				失效		0:46	↓	失效	6831 	0 								0:46	↓	失效		0 		23:48	↓	有效	0 	0 		0:46	↓	失效	0 	0 		0:46	↓	失效	0 	0 		18:25	↓	失效	0 	0 		11:21	↓	失效	0 	0 		0:46	↓	失效	0 	0 
7号自由港	桦石发财树	107%	23:09	↑	有效	98%	22:46	↑	有效	6831 	976 	104%	23:01	↓	有效	9925 	1418 							103%	23:00	↓	有效	8672 	1239 	90%	13:14	↓	失效	3114 	445 	109%	23:17	↓	有效	9954 	1422 	101%	23:15	↓	有效	9655 	1379 	82%	23:15	↓	有效	2330 	333 	99%	23:20	↓	有效	10742 	1535 
	石墨烯	85%	23:06	↓	有效	95%	22:51	↑	有效	8584 	858 	105%	23:01	↑	有效	15390 	1539 							95%	23:00	↑	有效	9246 	925 	113%	13:15	↑	失效	-15620 	-1562 	100%	23:20	↑	有效	9628 	963 	80%	22:56	↓	有效	6300 	630 	91%	19:23	↓	失效	9858 	986 	93%	22:50	↓	有效	10641 	1064 
	人工晶花	97%	23:07	↓	有效	90%	22:51	↑	有效	6618 	414 	115%	23:01	↑	有效	16117 	1007 							98%	23:00	↓	有效	9155 	572 	106%	13:16	↓	失效	10292 	643 	96%	23:09	↓	有效	7242 	453 	93%	23:16	↓	有效	10034 	627 	104%	21:57	↑	失效	13844 	865 	105%	22:50	↓	有效	16482 	1030 
	班节虾	119%	23:09	↑	有效	103%	22:52	↑	有效	8522 	243 	117%	23:01	↑	有效	15890 	454 							88%	23:12	↑	有效	4431 	127 	103%	13:31	↓	失效	5361 	153 	86%	23:15	↓	有效	1247 	36 	95%	23:15	↑	有效	12171 	348 	104%	22:37	↑	有效	15178 	434 	108%	22:50	↑	有效	19866 	568 
	电子配件				失效		0:46	↓	失效	0 	0 		0:46	↓	失效	0 	0 								0:46	↓	失效	0 	0 		0:46	↓	失效	0 	0 		1:44	↓	失效	0 	0 		1:36	↓	失效	0 	0 		16:21	↓	失效	0 	0 		0:46	↓	失效	0 	0 
	航天纪念品				失效		0:46	↓	失效	0 	0 		0:46	↓	失效	0 	0 								0:46	↓	失效	0 	0 		0:46	↓	失效	0 	0 		2:44	↓	失效	0 	0 		2:36	↓	失效	0 	0 		17:21	↓	失效	0 	0 		0:46	↓	失效	0 	0 
	坚果				失效		0:46	↓	失效	0 	0 		0:46	↓	失效	0 	0 								0:46	↓	失效	0 	0 		0:46	↓	失效	0 	0 		3:44	↓	失效	0 	0 		3:36	↓	失效	0 	0 		18:21	↓	失效	0 	0 		0:46	↓	失效	0 	0 
	啤酒				失效		0:46	↓	失效	0 	0 		0:46	↓	失效	0 	0 								0:46	↓	失效	0 	0 		0:46	↓	失效	0 	0 		4:44	↓	失效	0 	0 		4:36	↓	失效	0 	0 		19:21	↓	失效	0 	0 		0:46	↓	失效	0 	0 
	海盐				失效		0:46	↓	失效	0 	0 		0:46	↓	失效	0 	0 								0:46	↓	失效	0 	0 		0:46	↓	失效	0 	0 		5:44	↓	失效	0 	0 		5:36	↓	失效	0 	0 		20:21	↓	失效	0 	0 		0:46	↓	失效	0 	0 
	年货大礼包	94%	12:57	↓	失效	100%	12:16	↑	失效	0 	377 	93%	12:20	↑	失效	0 	338 							120%	12:45	↑	失效	0 	1234 	110%	12:08	↑	失效	0 	1057 	94%	11:56	↓	失效	0 	770 	100%	12:24	↓	失效	0 	645 	105%	18:50	↑	失效	0 	791 	105%	12:34	↓	失效	0 	904 
澄明数据中心	游戏机	106%	22:49	↑	有效	115%	22:50	↑	有效	12132 	1213 	107%	21:03	↓	失效	9403 	940 	103%	22:13	↑	失效	9352 	935 							100%	20:36	↑	失效	-27102 	-2710 	88%	23:24	↓	有效	5998 	600 	109%	23:21	↑	有效	18068 	1807 	115%	22:37	↑	有效	14699 	1470 	113%	22:17	↑	失效	15413 	1541 
	银矿石	80%	23:16	↓	有效	106%	22:50	↑	有效	12009 	1201 	87%	23:32	↓	有效	6992 	699 	92%	21:28	↓	失效	9000 	900 							93%	20:37	↓	失效	-15980 	-1598 	107%	22:47	↑	有效	14672 	1467 	103%	23:17	↓	有效	11986 	1199 	101%	19:52	↑	失效	11443 	1144 	103%	22:11	↓	失效	12756 	1276 
	游戏卡带	107%	22:49	↓	有效	107%	22:48	↑	有效	6802 	227 	85%	12:21	↑	失效	1954 	65 	97%	22:17	↓	失效	6460 	215 							82%	20:37	↓	失效	3112 	104 	106%	22:30	↓	失效	11295 	377 	109%	23:16	↑	有效	9967 	332 	120%	20:56	↑	失效	12615 	420 	107%	22:17	↑	失效	11558 	385 
	扬声器	99%	23:16	↓	有效	102%	22:52	↓	有效	5891 	295 	91%	15:51	↑	失效	3618 	181 	120%	22:11	↑	失效	10065 	503 							108%	16:17	↑	失效	6486 	324 	110%	21:44	↑	失效	8991 	450 	108%	23:17	↑	有效	7519 	376 	101%	19:44	↓	失效	6651 	333 	93%	23:10	↑	有效	5811 	291 
	录像带				失效		0:46	↑	失效		0 		0:46	↑	失效		0 		0:46	↓	失效	0 	0 								0:46	↓	失效		0 		11:44	↓	失效	0 	0 		11:36	↓	失效	0 	0 		2:21	↓	失效	0 	0 		0:46	↑	失效	0 	0 
	荧光棒				失效		0:46	↓	失效		0 		0:46	↑	失效		0 		0:46	↓	失效	0 	0 								0:46	↓	失效		0 		12:44	↓	失效	0 	0 		12:36	↓	失效	0 	0 		3:21	↓	失效	0 	0 		0:46	↑	失效	0 	0 
	火车玩具				失效		0:46	↑	失效		0 		0:46	↑	失效		0 		0:46	↓	失效	0 	0 								0:46	↓	失效		0 		13:44	↓	失效	0 	0 		13:36	↓	失效	0 	0 		4:21	↓	失效	0 	0 		0:46	↑	失效	0 	0 
	录音带				失效		0:46	↑	失效	2257 	0 		0:46	↑	失效		0 		0:46	↓	失效	0 	0 								0:46	↓	失效		0 		14:44	↓	失效	0 	0 		14:36	↓	失效	0 	0 		5:21	↓	失效	0 	0 		0:46	↑	失效	0 	0 
阿妮塔战备工厂(lv40)	火澄石	97%	23:30	↑	有效	87%	22:47	↓	有效	2257 	1128 	100%	15:35	↑	失效	4634 	2317 	94%	23:24	↓	有效	2982 	1491 	99%	16:07	↑	失效	3719 	1860 							98%	23:17	↓	有效	1906 	953 	86%	20:43	↑	失效	2406 	1203 	109%	20:22	↓	失效	5951 	2976 	109%	22:27	↓	失效	5265 	2632 
	负片炮弹	111%	23:30	↓	有效	101%	22:50	↑	有效	3356 	839 	96%	15:36	↓	失效	2942 	735 	114%	20:29	↑	失效	5233 	1308 	89%	15:26	↓	失效	818 	204 							105%	23:10	↑	有效	3648 	912 	98%	20:43	↓	失效	3227 	807 	101%	20:40	↓	失效	3782 	946 	96%	23:01	↑	有效	1652 	413 
	阿妮塔202军用无人机	91%	23:30	↑	有效	80%	20:17	↓	失效	3468 	495 	101%	20:09	↑	失效	9801 	1400 	106%	22:17	↓	失效	9615 	1374 	119%	22:01	↑	失效	12979 	1854 							92%	23:19	↑	有效	5993 	856 	105%	21:56	↓	失效	10887 	1555 	107%	21:50	↓	失效	11441 	1634 	111%	22:27	↑	失效	10096 	1442 
	抗污染防护服	99%	23:30	↑	有效	95%	21:53	↑	失效	7999 	727 	110%	21:03	↑	失效	14109 	1283 	84%	22:55	↓	有效	3220 	293 	88%	22:00	↓	失效	5344 	486 							103%	21:51	↑	失效	9448 	859 	89%	20:43	↓	失效	7867 	715 	85%	20:39	↑	失效	5626 	511 	91%	22:17	↑	失效	5230 	475 
	钛合金	101%	23:00	↑	有效	114%	17:59	↑	失效	11225 	1020 	120%	21:04	↑	失效	14064 	1279 	92%	22:50	↓	有效	4241 	386 	107%	22:02	↑	失效	7896 	718 							108%	18:47	↓	失效	9103 	828 	120%	19:56	↑	失效	14406 	1310 	100%	23:13	↑	有效	8042 	731 	89%	23:02	↑	有效	1613 	147 
	碳纤维				失效		15:17	↑	失效		0 		0:46	↑	失效	0 	0 		0:46	↓	失效	0 	0 		18:23	↓	失效	0 	0 								20:44	↓	失效		0 		20:36	↑	失效	0 	0 		11:21		失效		0 		18:56	↑	失效	0 	0 
	形态共振瞄准器				失效		16:17	↓	失效		0 		0:46	↑	失效	0 	0 		0:46	↓	失效	0 	0 		19:23	↓	失效	0 	0 								21:44	↓	失效		0 		21:36	↑	失效	0 	0 		12:21		失效		0 		19:56	↑	失效	0 	0 
	高导磁硅钢片				失效		17:17	↑	失效		0 		0:46	↑	失效	0 	0 		0:46	↓	失效	0 	0 		20:23	↓	失效	0 	0 								22:44	↓	有效		0 		22:36	↑	有效	0 	0 		13:21		失效		0 		20:56	↑	失效	0 	0 
	黄铜线圈				失效		18:17	↑	失效	3386 	0 		0:46	↑	失效	0 	0 		0:46	↓	失效	0 	0 		21:23	↓	失效	0 	0 								23:44	↓	有效		0 		23:36	↑	有效	0 	0 		14:21		失效		0 		21:56	↑	失效	0 	0 
阿妮塔能源研究所	阿妮塔小型桦树发电机	92%	23:28	↓	有效	108%	22:35	↓	有效	3386 	3386 	92%	23:27	↓	有效	2261 	2261 	118%	22:03	↓	失效	3682 	3682 	94%	22:01	↓	失效	2163 	2163 	107%	20:35	↑	失效	-5063 	-5063 							94%	22:57	↑	有效	2420 	2420 	108%	22:38	↓	有效	3683 	3683 	87%	22:26	↑	失效	2102 	2102 
	石墨烯电池	111%	23:28	↑	有效	117%	22:35	↑	有效	15003 	1875 	105%	18:17	↑	失效	11641 	1455 	104%	22:13	↓	失效	6487 	811 	107%	22:01	↑	失效	-27245 	-3406 	98%	20:35	↑	失效	-27245 	-3406 							105%	23:24	↑	有效	10678 	1335 	97%	22:38	↓	有效	9575 	1197 	95%	22:17	↑	失效	9687 	1211 
	阿妮塔101民用无人机	89%	23:28	↓	有效	89%	22:52	↓	有效	8742 	624 	119%	20:30	↑	失效	18117 	1294 	120%	23:30	↑	有效	12489 	892 	97%	22:03	↓	失效	9859 	704 	97%	20:35	↑	失效	7166 	512 							119%	23:26	↑	有效	17354 	1240 	102%	22:37	↓	有效	14428 	1031 	89%	21:27	↓	失效	11597 	828 
	家用太阳能电池组	84%	23:28	↓	有效	84%	22:52	↓	有效	9284 	442 	91%	20:11	↑	失效	12496 	595 	102%	23:30	↓	有效	10314 	491 	98%	22:04	↓	失效	12349 	588 	98%	20:37	↑	失效	9252 	441 							113%	23:26	↑	有效	18639 	888 	103%	22:37	↑	有效	16760 	798 	102%	22:17	↑	失效	17698 	843 
	锂电池	120%			失效		0:47	↓	失效		-735 		0:47	↑	失效	-20591 	-735 		0:47	↓	失效	-20591 	-735 		2:23	↓	失效	-20591 	-735 		0:47	↓	失效	-20591 	-735 								4:36	↓	失效		-735 		19:21	↓	失效	-20591 	-735 		2:56	↑	失效	-20591 	-735 
	充电电池	120%			失效		0:47	↓	失效	8845 	-276 		0:47	↑	失效	-11598 	-276 		0:47	↓	失效	-11598 	-276 		3:23	↓	失效	-11598 	-276 		0:47	↓	失效	-11598 	-276 								5:36	↓	失效		-276 		20:21	↓	失效	-11598 	-276 		3:56	↑	失效	-11598 	-276 
荒原站	孔雀石	109%	21:26	↓	失效	97%	22:51	↑	有效	8845 	285 	120%	15:15	↑	失效	18465 	596 	83%	22:55	↓	有效	8752 	282 	97%	19:15	↑	失效	11317 	365 	100%	22:15	↓	失效	-44547 	-1437 	105%	23:11	↑	有效	23943 	772 							107%	22:37	↑	有效	14349 	463 	101%	23:10	↓	有效	13629 	440 
	琥珀	96%	21:54	↑	失效	108%	22:49	↑	有效	20354 	885 	110%	23:29	↓	有效	18639 	810 	96%	21:28	↓	失效	22570 	981 	94%	22:03	↓	失效	16447 	715 	111%	22:15	↑	失效	-39518 	-1718 	80%	22:30	↓	失效	13039 	567 							97%	23:18	↑	有效	14256 	620 	91%	23:23	↓	有效	14668 	638 
	绿松石	120%	21:26	↑	失效	90%	21:53	↑	失效	406 	21 	113%	20:11	↑	失效	4360 	229 	118%	23:30	↑	有效	12378 	651 	90%	22:00	↓	失效	1582 	83 	116%	13:29	↑	失效	9553 	503 	93%	23:11	↓	有效	5939 	313 							89%	21:58	↓	失效	154 	8 	84%	21:28	↓	失效	87 	5 
	铅矿石				失效		0:47	↓	失效		0 		0:47	↑	失效	0 	0 		0:47	↓	失效	0 	0 		7:23	↓	失效	0 	0 		0:47	↓	失效	0 	0 		0:47	↓	失效	0 	0 		18:25						22:21	↓	失效		0 		5:56	↑	失效	0 	0 
	石墨				失效		0:47	↓	失效		0 		0:47	↑	失效	0 	0 		0:47	↓	失效	0 	0 		8:23	↓	失效	0 	0 		0:47	↓	失效	0 	0 		0:47	↓	失效	0 	0 		18:25						23:21	↓	有效		0 		6:56	↑	失效	0 	0 
	土豆				失效		0:47	↓	失效	8145 	0 		0:47	↑	失效	0 	0 		0:47	↓	失效	0 	0 		9:23	↓	失效	0 	0 		0:47	↓	失效	0 	0 		0:47	↓	失效	0 	0 		18:25						0:21	↓	失效		0 		7:56	↑	失效	0 	0 
曼德矿场	图形加速卡	108%	23:19	↓	有效	98%	22:46	↑	有效	8145 	679 	89%	20:10	↓	失效	2849 	237 	119%	23:29	↑	有效	23279 	1940 	104%	22:02	↑	失效	12518 	1043 	101%	13:27	↓	失效	11977 	998 	87%	23:08	↑	有效	10694 	891 	93%	20:33	↓	失效	5095 	425 							92%	23:23	↑	有效	-31800 	-2650 
	钛矿石	106%	23:19	↑	有效	87%	20:18	↑	失效	2187 	146 	108%	20:11	↓	失效	7131 	475 	93%	22:50	↑	有效	7802 	520 	86%	22:04	↓	失效	2954 	197 	114%	19:13	↑	失效	12810 	854 	112%	23:11	↑	有效	16292 	1086 	109%	21:46	↑	失效	7942 	529 							83%	23:24	↓	有效	1141 	76 
	铁轨用特种钢材	99%	23:20	↓	有效	99%	22:52	↓	有效	7120 	297 	112%	20:23	↑	失效	9299 	387 	95%	23:31	↓	有效	9685 	404 	97%	22:05	↓	失效	7792 	325 	97%	13:29	↑	失效	9045 	377 	83%	23:08	↓	有效	8018 	334 	90%	20:34	↓	失效	4611 	192 							89%	23:24	↓	有效	4332 	181 
	曼德工具箱	115%	23:20	↑	有效	105%	20:19	↑	失效	6981 	259 	103%	20:12	↑	失效	4021 	149 	99%	23:30	↓	有效	12393 	459 	80%	21:50	↓	失效	2036 	75 	96%	13:30	↑	失效	9083 	336 	98%	22:30	↓	失效	16661 	617 	95%	21:46	↑	失效	3572 	132 							87%	23:24	↓	有效	1433 	53 
	黄铜				失效		0:47	↓	失效		0 		0:47		失效	0 	0 		0:47	↓	失效	0 	0 		14:23	↓	失效	0 	0 		0:47	↓	失效	0 	0 		0:47	↑	失效	0 	0 		18:25	↓	失效	0 	0 								7:43	↑	失效		0 
	钢筋混凝土轨枕				失效		0:47	↓	失效		0 		0:47		失效	0 	0 		0:47	↓	失效	0 	0 		15:23	↓	失效	0 	0 		0:47	↓	失效	0 	0 		0:47	↑	失效	0 	0 		18:25	↓	失效	0 	0 								8:43	↑	失效		0 
	建材				失效		0:47	↓	失效		0 		0:47		失效	0 	0 		0:47	↓	失效	0 	0 		16:23	↓	失效	0 	0 		0:47	↓	失效	0 	0 		0:47	↑	失效	0 	0 		18:25	↓	失效	0 	0 								9:43	↑	失效		0 
	铁矿石				失效		0:47	↓	失效		0 		0:47		失效	0 	0 		0:47	↓	失效	0 	0 		17:23	↓	失效	0 	0 		0:47	↓	失效	0 	0 		0:47	↑	失效	0 	0 		18:25	↓	失效	0 	0 								10:43	↑	失效		0 
	石材				失效		0:47	↓	失效		0 		0:47		失效	0 	0 		0:47	↓	失效	0 	0 		18:23	↓	失效	0 	0 		0:47	↓	失效	0 	0 		0:47	↑	失效	0 	0 		18:25	↓	失效	0 	0 								11:43	↑	失效		0 
	砂石				失效		0:47	↓	失效	9134 	0 		0:47		失效	0 	0 		0:47	↓	失效	0 	0 		19:23	↓	失效	0 	0 		0:47	↓	失效	0 	0 		0:47	↑	失效	0 	0 		18:25	↓	失效	0 	0 								12:43	↑	失效		0 
淘金乐园	沙金	92%	23:05	↑	有效	96%	22:47	↓	有效	9134 	830 	93%	20:23	↓	失效	8167 	742 	92%	23:29	↑	有效	10284 	935 	103%	22:23	↓	失效	12307 	1119 	118%	23:30	↑	有效	14136 	1285 	96%	23:26	↓	有效	14237 	1294 	90%	20:16	↑	失效	7199 	654 	100%	23:17	↓	有效	9526 	866 						
	青金石	101%	23:05	↓	有效	95%	21:38	↑	失效	6561 	505 	87%	20:10	↓	失效	4312 	332 	89%	22:50	↑	有效	8194 	630 	101%	22:24	↓	失效	9490 	730 	117%	21:12	↑	失效	9835 	757 	97%	23:20	↓	有效	13154 	1012 	116%	23:28	↓	有效	12463 	959 	104%	21:19	↑	失效	7784 	599 						
	玛瑙	95%	23:05	↑	有效	105%	20:17	↑	失效	12433 	731 	93%	20:11	↑	失效	8465 	498 	108%	23:22	↑	有效	18181 	1069 	85%	22:24	↓	失效	7058 	415 	85%	21:12	↓	失效	3343 	197 	112%	23:18	↓	有效	22962 	1351 	120%	23:25	↑	有效	17413 	1024 	89%	21:09	↓	失效	5846 	344 						
	漆黑矿渣	104%			失效		16:49	↓	失效	9200 	249 		0:48	↓	失效	4221 	114 		13:36	↓	失效	9691 	262 		23:23	↓	有效	4752 	128 		0:48	↓	失效	10193 	275 		0:48	↓	失效	14610 	395 		18:25	↓	失效	5079 	137 		0:48	↑	失效	4876 	132 						
	铁矿石	104%			失效		17:49	↓	失效	-11345 	-277 		0:48	↓	失效	-11345 	-277 		14:36	↓	失效	-11345 	-277 		0:23	↓	失效	-11345 	-277 		0:48	↓	失效	-11345 	-277 		0:48	↓	失效	-11345 	-277 		18:25	↓	失效	-11345 	-277 		0:48	↑	失效	0 	0 						
	石英矿	104%			失效		18:49	↓	失效	-9061 	-193 		0:48	↓	失效	-9061 	-193 		15:36	↓	失效	-9061 	-193 		1:23	↓	失效	-9061 	-193 		0:48	↓	失效	-9061 	-193 		0:48	↓	失效	-9061 	-193 		18:25	↓	失效	-9061 	-193 		0:48	↑	失效	-9061 	-193 						
	金箔	95%	21:27	↓	失效	88%	21:07	↓	失效	0 	469 	99%	20:23	↑	失效	0 	-2397 	108%	23:04	↑	有效	0 	1412 	97%	21:52	↓	失效	0 	850 	82%	23:30	↓	有效	0 	-2397 	102%	23:08	↓	有效	0 	1475 	102%	23:26	↓	有效	0 	926 	92%	22:13	↑	失效	0 	518 						
	纯金线材	92%	23:25	↓	有效	106%	21:41	↓	失效	0 	1952 	80%	20:22	↓	失效	0 	-5034 	91%	22:50	↑	有效	0 	1565 	80%	22:18	↓	失效	0 	515 	120%	23:30	↑	有效	0 	-5034 	100%	23:11	↑	有效	0 	2531 	88%	20:15	↓	失效	0 	766 	92%	22:13	↑	失效	0 	886 						
